,marketplace,title,price,sold,city,link,extraction_date
230,tokopedia,VGA Card PNY GeForce RTX 2060 XLR8 OC 6GB,Rp10.500.000,,Jakarta Pusat,https://www.tokopedia.com/rajahdd/vga-card-pny-geforce-rtx-2060-xlr8-oc-6gb?whid=0,2021-10-26
231,tokopedia,VGA ASUS GeForce RTX 2060 / RTX2060 Dual EVO OC - 6GB GDDR6,Rp10.989.000,,Kota Denpasar,https://www.tokopedia.com/tokoberkahvga/vga-asus-geforce-rtx-2060-rtx2060-dual-evo-oc-6gb-gddr6?whid=0,2021-10-26
232,tokopedia,VGA MSI RTX 2060 Ventus XS 6GB OC GDDR6,Rp5.850.000,,Kota Batam,https://www.tokopedia.com/itzone/vga-msi-rtx-2060-ventus-xs-6gb-oc-gddr6?whid=0,2021-10-26
233,tokopedia,VGA Gigabyte GeForce RTX 2060 SUPER 8G AORUS - GV-N206SAORUS-8GC,Rp9.885.000,,Kab. Sukoharjo,https://www.tokopedia.com/eracomputer/vga-gigabyte-geforce-rtx-2060-super-8g-aorus-gv-n206saorus-8gc?whid=0,2021-10-26
234,tokopedia,VGA MSI RTX 2060 6GB GAMING Z GDDR6,Rp11.150.000,,Jakarta Timur,https://www.tokopedia.com/lapaknewon/vga-msi-rtx-2060-6gb-gaming-z-gddr6?whid=0,2021-10-26
235,tokopedia,VGA Colorful RTX 2060 NB-2v 6GB DDR6 192bit,Rp11.000.000,2 barang berhasil terjual,Kota Bekasi,https://www.tokopedia.com/pc-rakitan/vga-colorful-rtx-2060-nb-2v-6gb-ddr6-192bit?whid=0,2021-10-26
236,tokopedia,VGA ASUS ROG Strix RTX2060S Evo 8GB - RTX 2060 Super Evo OC 8 GB GDDR,Rp10.790.000,,Jakarta Barat,https://www.tokopedia.com/kinys1223/vga-asus-rog-strix-rtx2060s-evo-8gb-rtx-2060-super-evo-oc-8-gb-gddr?whid=0,2021-10-26
237,tokopedia,VGA MSI GEFORCE RTX 2060 GAMING 6GB Z -,Rp8.134.350,,Jakarta Pusat,https://www.tokopedia.com/findaseptian/vga-msi-geforce-rtx-2060-gaming-6gb-z?whid=0,2021-10-26
238,tokopedia,VGA Gigabyte RTX 2060 6GB | RTX2060 6GB Windforce GDDR6 PC Gaming,Rp11.800.000,,Jakarta Selatan,https://www.tokopedia.com/yourfuturecomp/vga-gigabyte-rtx-2060-6gb-rtx2060-6gb-windforce-gddr6-pc-gaming?whid=0,2021-10-26
239,tokopedia,vga gigabyte rtx 2060 oc 6gb RTX2060 OC 6 GB DDR6 Geforce Nvdia RESMI,Rp10.950.000,,Jakarta Pusat,https://www.tokopedia.com/mutukomputerharco/vga-gigabyte-rtx-2060-oc-6gb-rtx2060-oc-6-gb-ddr6-geforce-nvdia-resmi?whid=0,2021-10-26
240,tokopedia,VGA Asus RTX 2060 6GB D6 DUAL OC,Rp11.000.000,Terjual 3,Kab. Jember,https://www.tokopedia.com/hot-jbr/vga-asus-rtx-2060-6gb-d6-dual-oc?whid=0,2021-10-26
241,tokopedia,VGA MSI RTX 2060 Ventus GP OC,Rp11.200.000,Terjual 7,Kota Surabaya,https://www.tokopedia.com/rf-online-shop/vga-msi-rtx-2060-ventus-gp-oc?whid=0,2021-10-26
242,tokopedia,VGA MSI GeForce RTX 2060 GAMING Z 6G DDR6 192 BIT,Rp12.090.000,,Jakarta Timur,https://www.tokopedia.com/yoga-m/vga-msi-geforce-rtx-2060-gaming-z-6g-ddr6-192-bit?whid=0,2021-10-26
243,tokopedia,Vga Zotac - Gaming Geforce Rtx 2060 Super Mini Rtx2060 Harga Promo,Rp7.677.000,,Jakarta Barat,https://www.tokopedia.com/aishaalif-a/vga-zotac-gaming-geforce-rtx-2060-super-mini-rtx2060-harga-promo?whid=0,2021-10-26
244,tokopedia,Colorful RTX 2060 NB V | VGA GEFORCE RTX2060 6GB 192BIT,Rp10.990.000,,Kota Surabaya,https://www.tokopedia.com/suryaecomm/colorful-rtx-2060-nb-v-vga-geforce-rtx2060-6gb-192bit?whid=0,2021-10-26
245,tokopedia,vga gigabyte rtx 2060 oc 6gb RTX2060 OC 6 GB DDR6 Geforce Nvdia RESMI,Rp10.950.000,1 barang berhasil terjual,Jakarta Pusat,https://www.tokopedia.com/mutukomputer/vga-gigabyte-rtx-2060-oc-6gb-rtx2060-oc-6-gb-ddr6-geforce-nvdia-resmi?whid=0,2021-10-26
246,tokopedia,VGA GIGABYTE GeForce RTX 2060 D6 6GD - GV-N2060D6-6GD Rev 2.0,Rp11.735.000,Terjual 2,Kota Pekanbaru,https://www.tokopedia.com/zenithcomputer01/vga-gigabyte-geforce-rtx-2060-d6-6gd-gv-n2060d6-6gd-rev-2-0?whid=0,2021-10-26
247,tokopedia,MSI VGA Nvidia GeForce RTX 2060 Ventus 6GB OC BERGARANSI,Rp9.782.000,,Jakarta Barat,https://www.tokopedia.com/farhan11-1/msi-vga-nvidia-geforce-rtx-2060-ventus-6gb-oc-bergaransi?whid=0,2021-10-26
248,tokopedia,GIGABYTE GEFORCE RTX 2060 OC 6G (REV. 2.0) | VGA RTX 2060 6GB GDDR6,Rp12.500.000,Terjual 2,Jakarta Utara,https://www.tokopedia.com/esportga/gigabyte-geforce-rtx-2060-oc-6g-rev-2-0-vga-rtx-2060-6gb-gddr6?whid=0,2021-10-26
249,tokopedia,VGA Card Gigabyte RTX 2060 6GB Windforce OC RTX 2060,Rp6.980.000,,Kota Batam,https://www.tokopedia.com/itzone/vga-card-gigabyte-rtx-2060-6gb-windforce-oc-rtx-2060?whid=0,2021-10-26
